osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/262713198,New Hanover,suburb,uMshwathi Local Municipality,KwaZulu-Natal,-29.355000,30.526389,
node/262713213,New Rail,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.761389,31.903333,
node/30670039,Newcastle,city,Newcastle Local Municipality,KwaZulu-Natal,-27.754458,29.932561,
node/1345576724,Newcastle CBD,suburb,Newcastle Local Municipality,KwaZulu-Natal,-27.753781,29.932057,
node/1345576712,Newcastle Central,suburb,Newcastle Local Municipality,KwaZulu-Natal,-27.764718,29.934117,
node/262713249,Newlands,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.778333,30.960833,
node/262713262,Newton,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.538889,31.138889,
node/262713263,Newtown,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.680833,30.298056,
node/262721624,Ngagane,town,Newcastle Local Municipality,KwaZulu-Natal,-27.838611,29.998056,
node/262713335,Ngoje,suburb,Nkandla Local Municipality,KwaZulu-Natal,-28.604167,30.847222,
node/262721630,Ngolotshe,village,Nongoma Local Municipality,KwaZulu-Natal,-28.191389,31.786667,
node/262713384,Ngubela,suburb,Okhahlamba Local Municipality,KwaZulu-Natal,-28.715000,29.090833,
node/1348522726,Nguqunguqu,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.999711,30.142561,
node/2208085993,Ngwelezana,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.772024,31.863370,
node/262713441,Ngwelezana,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.773611,31.858333,
node/2208086367,Ngwelezana B,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.781126,31.853241,
node/262713453,Ngwemnyama,village,uMfolozi Local Municipality,KwaZulu-Natal,-28.489258,31.906790,
node/2207841041,Nhlabane,suburb,uMfolozi Local Municipality,KwaZulu-Natal,-28.656619,32.229950,
node/262713651,Nkandla,town,Nkandla Local Municipality,KwaZulu-Natal,-28.620000,31.090556,
node/262713657,Nkaphane,village,Ulundi Local Municipality,KwaZulu-Natal,-28.293056,31.306944,
node/262713673,Nkonjeni,suburb,Ulundi Local Municipality,KwaZulu-Natal,-28.236111,31.383333,
node/1424556271,Nolangeni,village,Greater Kokstad Local Municipality,KwaZulu-Natal,-30.615582,29.415900,
