osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/262721883,Park Estate,neighbourhood,City of Cape Town,Western Cape,-33.958056,18.490833,
node/6222857080,Park Estates,neighbourhood,City of Cape Town,Western Cape,-34.110652,18.830991,
node/9172273621,Parklands,suburb,City of Cape Town,Western Cape,-33.812782,18.499685,
node/262721891,Parkwood,suburb,City of Cape Town,Western Cape,-34.033334,18.495557,
node/262721892,Parow,town,City of Cape Town,Western Cape,-33.902500,18.586944,
node/262721893,Parow North,suburb,City of Cape Town,Western Cape,-33.890395,18.585925,
node/262721894,Parow-Oos,suburb,City of Cape Town,Western Cape,-33.896944,18.598333,
node/262721895,Parowvallei,suburb,City of Cape Town,Western Cape,-33.912222,18.592778,
node/262721902,Peerless Park,suburb,City of Cape Town,Western Cape,-33.843121,18.723503,
node/262721905,Pelican Park,suburb,City of Cape Town,Western Cape,-34.062025,18.528116,
node/262721906,Pella,village,City of Cape Town,Western Cape,-33.539510,18.521512,
node/262721910,Penhill,suburb,City of Cape Town,Western Cape,-33.992778,18.733611,
node/242544630,Penlyn Estate,suburb,City of Cape Town,Western Cape,-33.983917,18.522093,
node/262721921,Philadelphia,village,City of Cape Town,Western Cape,-33.666635,18.580989,
node/262721922,Philippi,suburb,City of Cape Town,Western Cape,-34.005306,18.570383,
node/3816236783,Philippi - Farmland,suburb,City of Cape Town,Western Cape,-34.028313,18.551422,
node/267044809,Phoenix,suburb,City of Cape Town,Western Cape,-33.874803,18.506344,
node/242783154,Pinati,suburb,City of Cape Town,Western Cape,-33.991988,18.517953,
node/6205734293,Pine Acres,neighbourhood,City of Cape Town,Western Cape,-34.144529,18.868561,
node/1618708099,Pine Haven,village,City of Cape Town,Western Cape,-34.182510,18.414982,
node/6206052336,Pine Town Informal Settlement,neighbourhood,City of Cape Town,Western Cape,-34.114799,18.909222,
node/12757409880,Pinehurst,suburb,City of Cape Town,Western Cape,-33.830415,18.685970,
node/25389818,Pinelands,suburb,City of Cape Town,Western Cape,-33.931667,18.512778,
node/262721940,Plattekloof,suburb,City of Cape Town,Western Cape,-33.877500,18.585556,
node/243052590,Plattekloof Glen,suburb,City of Cape Town,Western Cape,-33.884342,18.560463,
node/258408666,Plumstead,suburb,City of Cape Town,Western Cape,-34.020000,18.477222,
node/12187914034,Portland,suburb,City of Cape Town,Western Cape,-34.050331,18.613033,
node/262721953,Primrose Park,suburb,City of Cape Town,Western Cape,-33.981944,18.548889,
node/262721961,Protea Park,suburb,City of Cape Town,Western Cape,-33.574166,18.494714,
node/262721962,Protea Vallei,suburb,City of Cape Town,Western Cape,-33.865561,18.616605,
node/262721964,Proteaville,suburb,City of Cape Town,Western Cape,-33.819749,18.656413,
node/262721965,Puntsville,suburb,City of Cape Town,Western Cape,-34.041389,18.470000,
node/2579680561,Racing Park,suburb,City of Cape Town,Western Cape,-33.814152,18.535494,
node/6206052333,Rasta Kamp Informal Settlement,neighbourhood,City of Cape Town,Western Cape,-34.118529,18.908127,
node/262721995,Ravensmead,suburb,City of Cape Town,Western Cape,-33.921111,18.606389,
